Sim_Time,Sim_Alt,State - Time (s),State - Flight Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Off-Vert Angle (deg),State - Time in Stage (s),HITL_Accelerometer - Acc X (m/s^2),HITL_Accelerometer - Acc Y (m/s^2),HITL_Accelerometer - Acc Z (m/s^2),HITL_Gyroscope - Gyro X (rad/s),HITL_Gyroscope - Gyro Y (rad/s),HITL_Gyroscope - Gyro Z (rad/s),HITL_Barometer - Pres (hPa),HITL_Barometer - Temp (C),HITL_Barometer - Alt ASL (m),HITL_GPS - Lat (deg),HITL_GPS - Lon (deg),HITL_GPS - Alt (m),HITL_GPS - vN (m/s),HITL_GPS - vE (m/s),HITL_GPS - vD (m/s),HITL_GPS - Fix Quality,HITL_GPS - Time of Day,HITL_Magnetometer - Mag X (uT),HITL_Magnetometer - Mag Y (uT),HITL_Magnetometer - Mag Z (uT)
0.0,0.0,0.000,0,0.000,0.000,0.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.064,-0.030,9.922,0.012,-0.012,0.003,1013.170,15.000,0.666,45.0000000,-122.0000000,0.640,0.000,0.000,0.000,8,00:00:00,0.020,0.250,0.580
0.02,0.0,0.020,0,-0.000,0.000,-0.458,-0.000,0.000,-4.161,-0.000,0.000,-0.038,0.306,0.020,-0.038,0.036,9.772,-0.009,-0.007,0.006,1013.350,15.000,-0.832,45.0000000,-122.0000000,-0.870,0.000,0.000,0.000,8,00:00:00,-0.160,-0.930,0.270
0.04,0.0,0.040,0,-0.000,0.000,-1.026,-0.000,-0.000,-8.322,0.000,-0.000,-0.015,0.425,0.040,0.007,-0.072,9.795,-0.004,-0.011,-0.006,1013.380,15.000,-1.082,45.0000000,-122.0000000,-1.060,0.000,0.000,0.000,8,00:00:00,-0.240,0.060,-0.200
0.06,0.0,0.060,0,-0.000,0.000,-2.095,-0.000,0.000,-18.542,0.000,0.000,0.044,0.574,0.060,-0.013,-0.098,9.853,-0.003,0.007,-0.002,1013.600,15.000,-2.912,45.0000000,-122.0000000,-2.880,0.000,0.000,0.000,8,00:00:00,-0.450,1.040,0.500
0.08,0.0,0.080,0,-0.000,0.000,-2.226,-0.000,0.000,-15.716,-0.000,-0.000,0.035,0.831,0.080,0.045,0.136,9.844,-0.008,0.002,0.008,1013.390,15.000,-1.165,45.0000000,-122.0000000,-1.140,0.000,0.000,0.000,8,00:00:00,-0.970,0.220,0.100
0.1,0.0,0.100,0,-0.000,0.000,-2.274,-0.000,0.000,-12.758,0.000,0.000,-0.012,0.383,0.100,-0.026,-0.060,9.798,-0.011,-0.006,0.011,1013.390,15.000,-1.165,45.0000000,-122.0000000,-1.180,0.000,0.000,0.000,8,00:00:00,-0.540,0.250,-1.250
0.12000000000000001,0.0,0.120,0,-0.000,0.000,-0.816,-0.000,0.000,4.626,0.000,0.000,0.091,0.511,0.120,0.025,0.085,9.900,-0.004,-0.004,0.000,1012.910,15.000,2.829,45.0000000,-122.0000000,2.840,0.000,0.000,0.000,8,00:00:00,0.760,0.220,-0.150
0.14,0.0,0.140,0,-0.000,0.000,-0.500,0.000,0.000,6.683,0.000,0.000,0.049,0.173,0.140,-0.014,-0.026,9.859,-0.018,-0.003,0.013,1013.180,15.000,0.582,45.0000000,-122.0000000,0.600,0.000,0.000,0.000,8,00:00:00,-0.430,0.050,-0.830
0.16,0.0,0.160,0,-0.000,0.000,-2.287,0.000,0.000,-9.290,-0.000,-0.000,-0.032,0.600,0.160,0.001,0.102,9.777,0.004,0.008,-0.016,1013.910,15.000,-5.490,45.0000000,-122.0000000,-5.520,0.000,0.000,0.000,8,00:00:00,-0.100,-0.170,0.370
0.18,0.0,0.180,0,0.000,0.000,-2.741,0.000,-0.000,-11.316,0.000,-0.000,-0.025,0.317,0.180,0.019,-0.051,9.785,0.006,-0.001,-0.003,1013.570,15.000,-2.662,45.0000000,-122.0000000,-2.670,0.000,0.000,0.000,8,00:00:00,0.290,0.420,0.640
