Sim_Time,Sim_Alt,State - Time (s),State - Flight Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Off-Vert Angle (deg),State - Time in Stage (s),HITL_Accelerometer - Acc X (m/s^2),HITL_Accelerometer - Acc Y (m/s^2),HITL_Accelerometer - Acc Z (m/s^2),HITL_Gyroscope - Gyro X (rad/s),HITL_Gyroscope - Gyro Y (rad/s),HITL_Gyroscope - Gyro Z (rad/s),HITL_Barometer - Pres (hPa),HITL_Barometer - Temp (C),HITL_Barometer - Alt ASL (m),HITL_GPS - Lat (deg),HITL_GPS - Lon (deg),HITL_GPS - Alt (m),HITL_GPS - vN (m/s),HITL_GPS - vE (m/s),HITL_GPS - vD (m/s),HITL_GPS - Fix Quality,HITL_GPS - Time of Day,HITL_Magnetometer - Mag X (uT),HITL_Magnetometer - Mag Y (uT),HITL_Magnetometer - Mag Z (uT)
0.0,0.0,0.000,0,0.000,0.000,0.749,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.019,9.785,0.002,0.021,-0.004,1013.160,15.000,0.749,45.0000000,-122.0000000,0.750,0.000,0.000,0.000,8,00:00:00,-0.120,-0.000,-0.440
0.02,0.0,0.020,0,0.000,-0.000,0.144,0.000,-0.000,-2.241,0.000,-0.000,-0.058,0.353,0.020,-0.045,0.040,9.752,-0.015,-0.000,-0.012,1013.210,15.000,0.333,45.0000000,-122.0000000,0.370,0.000,0.000,0.000,8,00:00:00,0.280,0.220,-0.620
0.04,0.0,0.040,0,0.000,-0.000,0.227,0.000,-0.000,-1.148,-0.000,-0.000,0.049,0.635,0.040,-0.045,-0.100,9.858,-0.003,0.008,0.011,1013.110,15.000,1.165,45.0000000,-122.0000000,1.140,0.000,0.000,0.000,8,00:00:00,-0.060,-0.430,0.080
0.06,0.0,0.060,0,0.000,-0.000,0.505,-0.000,0.000,2.258,-0.000,0.000,-0.030,0.358,0.060,-0.027,0.055,9.780,-0.000,-0.004,-0.004,1013.040,15.000,1.748,45.0000000,-122.0000000,1.760,0.000,0.000,0.000,8,00:00:00,0.080,0.550,-0.180
0.08,0.0,0.080,0,-0.000,-0.000,0.531,-0.000,-0.000,2.034,-0.000,-0.000,-0.022,0.218,0.080,-0.012,-0.035,9.788,0.017,-0.009,0.002,1013.100,15.000,1.248,45.0000000,-122.0000000,1.270,0.000,0.000,0.000,8,00:00:00,-0.060,-0.270,0.750
0.1,0.0,0.100,0,-0.000,-0.000,0.669,-0.000,-0.000,3.121,-0.000,0.000,0.041,0.290,0.100,-0.048,0.013,9.851,-0.001,0.031,-0.002,1013.060,15.000,1.581,45.0000000,-122.0000000,1.620,0.000,0.000,0.000,8,00:00:00,0.030,-0.710,-0.190
0.12000000000000001,0.0,0.120,0,-0.000,-0.000,1.589,-0.000,-0.000,11.815,-0.000,-0.000,-0.088,0.315,0.120,-0.031,-0.043,9.722,0.013,0.012,0.007,1012.790,15.000,3.828,45.0000000,-122.0000000,3.850,0.000,0.000,0.000,8,00:00:00,0.840,-0.390,-0.230
0.14,0.0,0.140,0,-0.000,-0.000,-0.443,-0.000,-0.000,-9.004,0.000,0.000,0.058,0.035,0.140,0.001,0.006,9.868,-0.005,0.017,0.003,1013.720,15.000,-3.910,45.0000000,-122.0000000,-3.870,0.000,0.000,0.000,8,00:00:00,-0.560,-0.040,0.020
0.16,0.0,0.160,0,-0.000,-0.000,-0.057,-0.000,-0.000,-4.302,-0.000,0.000,-0.031,0.520,0.160,0.087,-0.017,9.778,-0.013,0.002,0.002,1013.030,15.000,1.831,45.0000000,-122.0000000,1.820,0.000,0.000,0.000,8,00:00:00,-0.720,0.440,-0.880
0.18,0.0,0.180,0,-0.000,-0.000,0.788,-0.000,-0.000,2.738,0.000,-0.000,-0.069,0.550,0.180,-0.092,0.017,9.741,-0.004,0.004,-0.005,1012.820,15.000,3.579,45.0000000,-122.0000000,3.620,0.000,0.000,0.000,8,00:00:00,0.550,-0.520,0.100
0.19999999999999998,0.0,0.200,0,-0.000,-0.000,0.839,-0.000,-0.000,2.715,-0.000,-0.000,-0.084,0.370,0.200,-0.036,-0.051,9.726,-0.004,-0.011,0.006,1013.060,15.000,1.581,45.0000000,-122.0000000,1.540,0.000,0.000,0.000,8,00:00:00,-0.290,-0.150,0.460
0.21999999999999997,0.0,0.220,0,-0.000,-0.000,-0.210,-0.000,-0.000,-4.310,0.000,-0.000,-0.019,0.715,0.220,-0.058,0.107,9.791,0.002,-0.000,-0.004,1013.530,15.000,-2.330,45.0000000,-122.0000000,-2.290,0.000,0.000,0.000,8,00:00:00,-0.010,-0.070,-0.110
0.23999999999999996,0.0,0.240,0,-0.000,-0.000,0.741,-0.000,-0.000,1.796,0.000,0.000,0.012,0.614,0.240,-0.064,-0.084,9.822,0.001,-0.003,0.008,1012.720,15.000,4.411,45.0000000,-122.0000000,4.420,0.000,0.000,0.000,8,00:00:00,-0.300,-0.790,0.030
0.25999999999999995,0.0,0.260,0,-0.000,-0.000,2.315,-0.000,-0.000,10.213,0.000,-0.000,0.012,0.245,0.260,0.034,-0.025,9.822,0.009,0.006,0.018,1012.320,15.000,7.741,45.0000000,-122.0000000,7.780,0.000,0.000,0.000,8,00:00:00,0.510,0.080,-0.500
0.27999999999999997,0.0,0.280,0,-0.000,-0.000,1.793,-0.000,-0.000,6.502,-0.000,-0.000,0.012,0.396,0.280,0.014,0.066,9.822,-0.001,0.006,-0.004,1013.230,15.000,0.166,45.0000000,-122.0000000,0.140,0.000,0.000,0.000,8,00:00:00,0.010,-0.250,0.370
0.3,0.0,0.300,0,-0.000,-0.000,1.939,-0.000,-0.000,6.580,-0.000,-0.000,-0.028,0.406,0.300,-0.045,-0.053,9.782,0.001,-0.010,-0.004,1012.920,15.000,2.746,45.0000000,-122.0000000,2.770,0.000,0.000,0.000,8,00:00:00,0.720,0.630,-0.000
0.32,0.0,0.320,0,-0.000,-0.000,1.353,-0.000,-0.000,3.345,0.000,-0.000,0.065,0.693,0.320,-0.047,0.110,9.874,-0.001,0.012,-0.004,1013.320,15.000,-0.582,45.0000000,-122.0000000,-0.540,0.000,0.000,0.000,8,00:00:00,-0.320,0.140,-0.220
