Sim_Time,Sim_Alt,State - Time (s),State - Flight Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Off-Vert Angle (deg),State - Time in Stage (s),HITL_Accelerometer - Acc X (m/s^2),HITL_Accelerometer - Acc Y (m/s^2),HITL_Accelerometer - Acc Z (m/s^2),HITL_Gyroscope - Gyro X (rad/s),HITL_Gyroscope - Gyro Y (rad/s),HITL_Gyroscope - Gyro Z (rad/s),HITL_Barometer - Pres (hPa),HITL_Barometer - Temp (C),HITL_Barometer - Alt ASL (m),HITL_GPS - Lat (deg),HITL_GPS - Lon (deg),HITL_GPS - Alt (m),HITL_GPS - vN (m/s),HITL_GPS - vE (m/s),HITL_GPS - vD (m/s),HITL_GPS - Fix Quality,HITL_GPS - Time of Day,HITL_Magnetometer - Mag X (uT),HITL_Magnetometer - Mag Y (uT),HITL_Magnetometer - Mag Z (uT)
0.0,0.0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.02,0.0,0.020,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.04,0.0,0.040,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.06,0.0,0.060,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.08,0.0,0.080,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.1,0.0,0.100,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.12000000000000001,0.0,0.120,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.120,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.14,0.0,0.140,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.140,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.16,0.0,0.160,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.160,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.18,0.0,0.180,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.180,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.19999999999999998,0.0,0.200,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.21999999999999997,0.0,0.220,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.220,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.23999999999999996,0.0,0.240,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.25999999999999995,0.0,0.260,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.260,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.27999999999999997,0.0,0.280,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.280,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.3,0.0,0.300,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.32,0.0,0.320,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.320,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.34,0.0,0.340,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.340,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.36000000000000004,0.0,0.360,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.360,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.38000000000000006,0.0,0.380,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.380,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.4000000000000001,0.0,0.400,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.4200000000000001,0.0,0.420,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.420,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.4400000000000001,0.0,0.440,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.440,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.46000000000000013,0.0,0.460,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.460,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.48000000000000015,0.0,0.480,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.480,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.5000000000000001,0.0,0.500,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.5200000000000001,0.0,0.520,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.520,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.5400000000000001,0.0,0.540,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.540,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.5600000000000002,0.0,0.560,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.560,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.5800000000000002,0.0,0.580,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.580,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.6000000000000002,0.0,0.600,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.6200000000000002,0.0,0.620,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.620,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.6400000000000002,0.0,0.640,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.640,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.6600000000000003,0.0,0.660,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.660,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.6800000000000003,0.0,0.680,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.680,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.7000000000000003,0.0,0.700,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.700,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.7200000000000003,0.0,0.720,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.720,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.7400000000000003,0.0,0.740,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.740,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.7600000000000003,0.0,0.760,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.760,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.7800000000000004,0.0,0.780,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.780,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.8000000000000004,0.0,0.800,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.800,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.8200000000000004,0.0,0.820,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.820,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.8400000000000004,0.0,0.840,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.840,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.8600000000000004,0.0,0.860,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.860,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.8800000000000004,0.0,0.880,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.880,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.9000000000000005,0.0,0.900,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.900,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.9200000000000005,0.0,0.920,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.920,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
0.9400000000000005,0.0,0.940,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.940,0.000,0.000,9.810,0.000,0.000,0.000,1013.250,15.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,0.000
